condition,body_mass_kg,walk_time_s,total_time_s,distance_m,mean_walk_speed_m_s,mean_RQ_walk,n_interp_VO2,n_interp_VCO2,standing_J_per_s,net_total_J_kg,net_rate_W_kg,CoT_J_kg_per_m_s,standing_mLO2_per_s,net_total_mLO2_kg,net_rate_mL_kg_min,CoT_mLO2_kg_per_m_s,net_total_J_kg_pct_vs_NoExo,net_rate_W_kg_pct_vs_NoExo,CoT_J_kg_per_m_s_pct_vs_NoExo,net_total_mLO2_kg_pct_vs_NoExo,net_rate_mL_kg_min_pct_vs_NoExo,CoT_mLO2_kg_per_m_s_pct_vs_NoExo
NoExo,83.5000,431.3500,611.5100,384.3310,0.8910,0.8324,1,5,114.5340,2446.6715,5.6721,2745.9971,5.6961,119.2072,16.5815,133.7910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ExoOff,83.5000,521.0600,685.0000,384.3310,0.7376,0.8994,15,16,114.5340,2798.2728,5.3703,3793.7822,5.6961,133.8091,15.4081,181.4128,14.3706,-5.3204,38.1568,12.2491,-7.0766,35.5941
ExoOn,83.5000,439.5800,618.7300,384.3310,0.8743,0.8165,12,12,114.5340,2928.9009,6.6630,3349.9413,5.6961,143.2280,19.5498,163.8176,19.7096,17.4684,21.9936,20.1504,17.9009,22.4429
